iter	Passed	Remaining
0	3	1258
1	5	1179
2	8	1168
3	11	1148
4	14	1152
5	16	1150
6	19	1154
7	22	1141
8	24	1126
9	27	1118
10	30	1110
11	32	1102
12	35	1101
13	38	1103
14	41	1100
15	44	1098
16	46	1097
17	49	1097
18	52	1100
19	55	1096
20	58	1093
21	60	1089
22	63	1085
23	66	1088
24	70	1092
25	70	1062
26	73	1061
27	76	1060
28	79	1055
29	81	1050
30	84	1051
31	87	1047
32	90	1042
33	92	1039
34	95	1033
35	97	1028
36	100	1030
37	103	1026
38	106	1022
39	109	1021
40	111	1019
41	114	1018
42	117	1018
43	120	1015
44	123	1011
45	123	991
46	126	987
47	128	983
48	131	981
49	134	979
50	136	976
51	139	973
52	142	970
53	144	967
54	147	964
55	150	963
56	152	960
57	155	957
58	158	955
59	160	951
60	163	948
61	166	947
62	168	944
63	171	941
64	174	939
65	177	936
66	179	933
67	182	932
68	185	929
69	188	926
70	190	924
71	193	921
72	196	918
73	199	917
74	201	914
75	204	911
76	207	910
77	208	899
78	208	886
79	210	883
80	213	880
81	214	870
82	217	868
83	219	865
84	222	863
85	225	860
86	227	859
87	230	857
88	233	856
89	236	853
90	238	850
91	241	848
92	244	845
93	247	845
94	250	842
95	252	839
96	255	838
97	258	836
98	261	833
99	263	831
100	266	829
101	269	827
102	272	826
103	275	823
104	278	821
105	281	820
106	284	819
107	287	816
108	290	815
109	293	813
110	295	810
111	298	808
112	301	806
113	304	803
114	307	801
115	310	799
116	312	797
117	315	794
118	318	792
119	321	789
120	323	787
121	326	784
122	329	782
123	332	780
124	335	777
125	337	775
126	340	772
127	343	769
128	345	767
129	348	765
130	351	762
131	354	759
132	356	756
133	359	754
134	362	751
135	365	749
136	367	746
137	370	744
138	373	741
139	376	739
140	379	736
141	381	734
142	384	731
143	387	728
144	390	726
145	392	723
146	395	721
147	398	719
148	401	716
149	403	713
150	406	711
151	409	708
152	412	706
153	415	704
154	418	701
155	421	699
156	423	696
157	426	693
158	429	692
159	433	690
160	435	687
161	438	684
162	441	681
163	443	679
164	446	676
165	447	671
166	450	668
167	453	666
168	455	663
169	458	660
170	461	658
171	464	655
172	467	653
173	470	651
174	470	645
175	473	642
176	475	640
177	479	638
178	482	636
179	485	633
180	488	631
181	491	628
182	494	626
183	497	624
184	500	622
185	503	619
186	506	616
187	508	614
188	512	612
189	515	609
190	518	607
191	520	605
192	523	602
193	526	599
194	529	597
195	532	595
196	535	592
197	538	590
198	541	587
199	544	584
200	546	582
201	550	579
202	552	577
203	555	574
204	559	572
205	562	570
206	614	617
207	626	623
208	629	620
209	632	617
210	635	614
211	641	613
212	648	614
213	653	613
214	656	610
215	659	607
216	662	604
217	665	601
218	668	598
219	671	594
220	673	591
221	677	588
222	679	585
223	682	581
224	685	578
225	687	575
226	690	572
227	693	568
228	696	565
229	698	562
230	701	558
231	704	555
232	707	552
233	710	549
234	712	546
235	715	542
236	718	539
237	720	536
238	723	532
239	727	530
240	730	527
241	733	524
242	735	520
243	738	517
244	741	514
245	744	511
246	747	508
247	750	505
248	752	501
249	755	498
250	758	495
251	761	492
252	764	489
253	766	486
254	769	482
255	772	479
256	775	476
257	777	473
258	780	470
259	783	466
260	786	463
261	789	460
262	791	457
263	794	454
264	796	451
265	799	447
266	802	444
267	804	441
268	807	438
269	810	435
270	813	432
271	815	428
272	818	425
273	821	422
274	824	419
275	825	415
276	828	412
277	830	409
278	833	406
279	836	403
280	838	400
281	841	396
282	844	394
283	847	391
284	850	387
285	853	384
286	856	381
287	859	379
288	862	375
289	865	372
290	867	369
291	870	366
292	873	363
293	876	360
294	878	357
295	881	354
296	884	351
297	887	348
298	890	345
299	893	342
300	895	339
301	898	336
302	901	333
303	901	329
304	904	326
305	907	323
306	910	320
307	912	317
308	915	313
309	917	310
310	920	307
311	923	304
312	926	301
313	928	298
314	931	295
315	934	292
316	937	289
317	941	287
318	943	284
319	946	280
320	949	277
321	951	274
322	955	272
323	957	268
324	960	265
325	963	262
326	966	259
327	968	256
328	971	254
329	974	251
330	977	248
331	980	245
332	982	242
333	985	239
334	989	236
335	991	233
336	994	230
337	996	227
338	999	224
339	1002	221
340	1005	218
341	1007	215
342	1010	212
343	1013	209
344	1015	206
345	1018	203
346	1021	200
347	1024	197
348	1026	194
349	1029	191
350	1032	188
351	1034	185
352	1037	182
353	1040	179
354	1042	176
355	1044	173
356	1046	170
357	1049	167
358	1052	164
359	1055	161
360	1057	158
361	1060	155
362	1063	152
363	1066	149
364	1069	146
365	1071	143
366	1075	140
367	1077	137
368	1080	134
369	1083	131
370	1086	128
371	1089	125
372	1091	122
373	1094	119
374	1097	117
375	1099	114
376	1103	111
377	1105	108
378	1108	105
379	1111	102
380	1113	99
381	1116	96
382	1119	93
383	1122	90
384	1125	87
385	1127	84
386	1130	81
387	1133	78
388	1136	75
389	1138	72
390	1141	70
391	1144	67
392	1146	64
393	1149	61
394	1152	58
395	1155	55
396	1158	52
397	1161	49
398	1163	46
399	1166	43
400	1169	40
401	1172	37
402	1174	34
403	1175	32
404	1178	29
405	1180	26
406	1183	23
407	1186	20
408	1189	17
409	1191	14
410	1194	11
411	1197	8
412	1200	5
413	1203	2
414	1205	0
